2015 Yamaha FX SVHO Ready To Go 

Price                                    $5500
Hours                                   80hrs
Make                                   Yamaha
Model                                 FX SVHO
Hull Year                              2015
Length                                  3 m / 9.84 ft
Fuel Capacity                            70
Fuel Type                                Petrol
Beam Width                           1.23 Metres
Dry Weight                             378 Kilograms
Hull Material                          Fibreglass
